_RAJ2000	_DEJ2000	_V	mode	q_mode	cl	SDSS8	m_SDSS8	Im	RA_ICRS	DE_ICRS	zsp	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Q	ObsDate	objID
------------	------------	----------	-	----------	-	----------	----------	----------	----------	----------	--------	------	------	------	------	------	------	------	------	------	------	-	---------	-------------------
138.55844800	+40.13182100	VizieR	1	 	3	J091414.02+400754.5	 	Im	138.558448	+40.131821	 	25.107	1.036	22.875	0.237	21.832	0.128	21.616	0.170	22.266	0.813	1	2002.0377	1237657874865258575
138.56083200	+40.11874500	VizieR	1	 	3	J091414.60+400707.4	 	Im	138.560832	+40.118745	 	24.897	1.087	21.818	0.096	22.063	0.159	22.612	0.405	22.827	0.903	1	2002.0377	1237657874865258548
138.56128600	+40.13175700	VizieR	1	 	6	J091414.70+400754.3	 	Im	138.561286	+40.131757	 	24.743	1.046	22.925	0.233	22.012	0.139	22.667	0.391	22.257	0.744	1	2002.0377	1237657874865258565
138.56174000	+40.13051100	VizieR	1	 	6	J091414.81+400749.8	 	Im	138.561740	+40.130511	 	25.000	0.941	22.160	0.115	22.340	0.177	23.090	0.522	22.704	0.790	1	2002.0377	1237657874865258573
138.56200800	+40.12687900	VizieR	1	 	6	J091414.88+400736.7	 	Im	138.562008	+40.126879	 	25.253	0.843	22.386	0.140	22.823	0.266	23.364	0.626	22.732	0.784	1	2002.0377	1237657874865258571
138.56216400	+40.12157700	VizieR	1	 	3	J091414.91+400717.6	 	Im	138.562164	+40.121577	 	22.448	0.335	21.318	0.065	21.390	0.092	21.515	0.163	22.792	0.940	1	2002.0377	1237657874865258536
138.56353200	+40.12980400	VizieR	1	 	6	J091415.24+400747.3	 	Im	138.563532	+40.129804	 	25.168	1.018	22.037	0.117	22.069	0.162	22.159	0.281	22.090	0.754	1	2002.0377	1237657874865258572
138.56367000	+40.12105100	VizieR	1	 	3	J091415.28+400715.7	 	Im	138.563670	+40.121051	 	29.868	0.422	17.524	0.040	16.098	0.016	15.590	0.016	15.511	0.050	1	2002.0377	1237657874865258519
138.56558700	+40.13179200	VizieR	1	 	6	J091415.74+400754.4	 	Im	138.565587	+40.131792	 	25.015	0.956	22.666	0.176	22.523	0.203	22.236	0.250	22.703	0.774	1	2002.0377	1237657874865258578
138.56644500	+40.12217800	VizieR	1	 	6	J091415.94+400719.8	 	Im	138.566445	+40.122178	 	24.834	1.010	22.218	0.129	22.210	0.166	21.768	0.178	22.827	0.830	1	2002.0377	1237657874865258539
138.56668600	+40.12270200	VizieR	1	 	6	J091416.00+400721.7	 	Im	138.566686	+40.122702	 	24.635	1.079	21.869	0.099	22.007	0.146	22.734	0.430	22.760	0.850	1	2002.0377	1237657874865258537
138.56732600	+40.12263000	VizieR	1	 	6	J091416.15+400721.4	 	Im	138.567326	+40.122630	 	23.354	0.580	22.015	0.104	21.875	0.118	22.405	0.296	22.827	0.790	1	2002.0377	1237657874865258531
138.56842800	+40.12560300	VizieR	1	 	6	J091416.42+400732.1	 	Im	138.568428	+40.125603	 	24.944	0.914	22.730	0.185	22.841	0.262	22.188	0.235	22.827	0.759	1	2002.0377	1237657874865258552
